cid,review_str
17629,"At the bottom end of the apocalypse movie scale is this piece of pish called 'The Final Executioner'.. at least where I come from. A bloke is trained by an ex-cop to seek vengeance on those that killed his woman and friends in cold blood.. and that's about it. Lots of fake explosions and repetitive shootings ensue. Has one of the weirdest array of costumes I've seen in a film for a while, and a massive fortress which is apparently only run by 7 people. GREAT job on the dubbing too guys(!) Best moment: when our hero loses a swordfight and is about to be skewered through the neck, he just gets out his gun and BANG! Why not do that earlier? It's a mystery. As is why anyone would want to sit through this in the first place. I'm still puzzling over that one myself now.. 2/10"
13089,"Earth has been destroyed in a nuclear holocaust. Well, parts of the Earth, because somewhere in Italy, a band of purebred survivors--those without radioactive contamination--are holed up in a massive mansion surrounded by lush grounds, waiting for the next opportunity to go hunting for those with polluted blood. The Final Executioner is the story of one of their would be victims, Alan (William Mang, who looks, not surprisingly, a lot like Kurt Russell), and his efforts to take down the legally sanctioned hunters, who are led by Edra (Marina Costa) and Erasmus (Harrison Muller Jr. ). Alan has been trained to kill by former NYPD cop Sam (Woody Strode) who mostly hangs around giving his pupil moral support and mooching for tinned meat. Strode is by far the best thing about the film, though he doesn't look at all well and only appears for about a third of the running time. As for the story, it's a blending of elements from better films and stories, including Ten Little Indians, The Most Dangerous Game, and Escape From New York. The Final Executioner moves along at a fair pace and provides reasonable entertainment for less discriminate action fans."
16752,"Many people are standing in front of the house n some women are crying... Men standing in close groups and speaking in hushed up tone... a couple of guys come in and they are discussing how sexy the daughter might look today... soon u will know someone in the house has died... The dead person's wife is worried about preparing food for so many people, her friend sitting beside her gives an idea of making the matters easy by preparing simple roti sabji... One of the dead person's son is speaking with someone over the mobile, Daughter is busy with her makeup... her mother suggests her to wear salwar kameej, but the daughter is more interested in looking good when so many people will be visiting their house and hence prefers jeans and T shirt over salwar kameez... another son asks her mom to finish all the kriyas and also indicates to her that he should not be expected to come early from the office... Then the camera slowly focuses on the dead person... the white cloth covering the face is displaced slightly due to the wind, revealing the face ... Its Anupam Kher... suddenly alarm rings and he gets up from the bed... Is it his dream or a flash back? U won't get an answer until the end of the movie...Well, This is wat comedy is for the director Dibakar Banerjee!!!!! Later u find out this scene has nothing to do with the actual movie and hence making everything obvious that the still described earlier was a dream. Is this a film comedy? Well it is supposed to belong to that category... But it actually does not!!! there is nothing that can be remotely associated with comedy in the movie!!! More over the director gives the message that no one will get justice from Police!!! so everyone must cheat the cheats!!!! or forget about Justice!!!! Music by Bapi-Tutul & Dhruv Dhalla is OK... Nothing much to tell about other sectors... Bad script destroys everything... not even Anupam Kher's performance succeeds in making it at least a paisa vasool..."
13579,"New York family is the last in their neighborhood to get a television set, which nearly ruins David Niven's marriage to Mitzi Gaynor. Bedroom comedy that rarely ventures into the bedroom(and nothing sexy happens there anyway). Gaynor as an actress has about as much range as an oven--she turns on, she turns off. Film's sole compensation is a supporting performance by perky Patty Duke, pre-Miracle Worker, as Niven's daughter. She's delightful; Happy Anniversary is not. * from ****"
13869,The best thing about The Prey is the tag line...It's not human and it's got an axe! The movie itself is a padded stinkaroo....endless insect and wildlife shots make the viewer wanna die! No slasher fan will like this garbage.....Watch Friday the 13th again and burn any copy of this film you find! <br /><br />It also rates as one of the 25 worst films ever made!
13089,"This is truly, without exaggerating, one of the worst Slasher movies ever made. I know, it came out in the 80's following a tendency started by Friday the 13th. The Prey copies the fore-mentioned movie in many aspects. The woods setting, the killer, the dumb teens, the gore, etc.<br /><br />But The Prey is as bad as you might expect. I didn't even remember about it if it wasn't for coincidence.<br /><br />Well, the killer is in fact human so don't expect a supernatural killer in the likes of Jason. The situations rather boring and lack of tension, gore, violence, etc. It just does not works for a slasher flick.<br /><br />The acting is simply horrid. The score is horrible! a combination of boring instruments with cheesy 80's tunes?! I won't even mention the technical aspects of the movie because believe me, it seems that it cost only 20 dollars.<br /><br />Please avoid this one like the plague. It's one of the worst movies I've ever seen, and that's something to say. Thank God it seems to have vanished from earth."
15211,"I'm a huge fan of both Emily Watson (Breaking The Waves) and Tom Wilkinson (Normal) and was amused to see them upstaged by Rupert Everett (Dellamorte Dellamore) in this shockingly rather minor movie that had all the ingredients to be so much more. The too brief scenes in which he portrays a languid, infinitely entitled, worthless son of a rich Lord are spot-on and entertaining. But for a love triangle there was remarkably little chemistry to speak of between anyone. The music was annoyingly movie-of-the-week quality, and the voice-over jarring and totally unnecessary. Clearly the work of a first-time director with a small budget who either lacked or didn't sufficiently heed good advice. Too bad.<br /><br />I can appreciate how the people you kind of hate at the beginning are the ones you kind of like at the end, and vice-versa, so there is some sort of character arc, at least in terms of perception. For example, Watson's character, while refreshingly honest to her husband about her feelings for another man, began to grate on me near the end, particularly when she announced to her husband that she simply had absolutely no control over her actions, and later when she simply declared that she would be moving back into their marital flat, with no asking of permission, no apologies offered. And I went from disliking Wilkinson's control freak / moral relativist character to sort of understanding him and not really wanting him to change (unlike his wife).<br /><br />This movie awkwardly morphed from a whodunit to a Love Story or Steel Magnolias illness drama without sufficiently informing me of the fact, so I was left distractedly guessing what the next plot twist might be long after they had all been revealed (Was it the Lord driving the car? The Lord's dog?). The scene where the Lord visits Wilkinson and relates how brave Watson is, the bestest nurse any dying boyfriend could ever ask for, Florence Nightingale incarnate, etc. was OK until he started over-the-top sobbing like a baby. Good God! If you ask me she's just another flitty rich person with way too much time on her hands, and so she drives her hard working, well providing spouse crazy with unnecessary drama. Her screwing around was just another way to occupy her empty life; the dying guy thing was an added bonus for her as it somehow made her previous actions completely above reproach.<br /><br />Look, everyone would have been better off if Wilkinson had just left her for his secretary, who seemed to appreciate him for who he was. Instead he acted like an abused dog, his open craving for his wife's affection increasing with every kick she gives him. I'm not anti PC or anything, it just didn't ring true, even after taking into account all of the harsh realities of middle age we all tend to face. The ending for me was (and not the director's intention I am certain) depressing. The movie spent the last 80 minutes convincing me that these two people just don't belong together, so I found no joy in the promise of their relationship continuing. I'm not above wanting my emotions manipulated by a story, it just has to be somewhat plausible and not hackneyed. Is that asking too much?<br /><br />My score: 4/10"
13069,"Sure, most of the slasher films of the 1980's were not worth the<br /><br />celluloid they were filmed on, but this video nightmare may well be<br /><br />the dullest produced.<br /><br />Six horny pot smoking students decide to go camping. Of course,<br /><br />and you know this already, they begin getting killed one by one by a<br /><br />mysterious stranger. The climax has a hunky forest ranger trying to<br /><br />get to the teens in time before the last cute girl becomes buzzard<br /><br />bait.<br /><br />John Carl Buechler, my least favorite B-movie guy, did the lousy<br /><br />makeup effects here. The cast features Carel Struycken, of The<br /><br />Witches of Eastwick and the Addams family movies. Sadly, he<br /><br />does not pop up until the very end of the film, and is covered in<br /><br />burn makeup, rendering him unrecognizable. Steve Bond (anyone<br /><br />remember him?) is here in an early role as a victim.<br /><br />Brown's direction, and the script he cowrote, both smell like the<br /><br />presents brown bears leave in the woods. He pads the film with<br /><br />so much stock wilderness footage, I thought I accidentally rented a<br /><br />special episode of Mutual of Omaha's Wild Kingdom. Much of the<br /><br />cast sits around the campfire and eats, then walk, and sit and eat<br /><br />again. The forest ranger is involved in the strangest scene ever put<br /><br />in a slasher film: he tells a joke about a wide mouthed frog to a<br /><br />baby deer. Jackie Coogan, who must have forgot he once worked<br /><br />with the legends of silent cinema, has two scenes, and is involved<br /><br />in the second strangest scene ever put in a slasher film: he and<br /><br />the hunky forest ranger have a conversation about cucumber and<br /><br />cream cheese sandwiches on oatmeal bread...yeah.<br /><br />There is not one minute of suspense here. The killer, a forest fire<br /><br />survivor looking for a mate, watches the students from behind<br /><br />trees. We know it is the killer because the film makers have<br /><br />dubbed in a heart beat sound effect that helpfully serves to wake<br /><br />the viewer up every few minutes. Skip this pile of pine sap and rent<br /><br />Halloween, instead.<br /><br />This is rated (R) for physical violence, mild gun violence, gore,<br /><br />some profanity, brief female nudity, mild sexual content, sexual<br /><br />references, and drug abuse."
14031,"I think that would have been a more appropriate title for this film, since it is padded to hell and back with stock footage of various bugs and animals. I recently found The Prey in its original VHS 'big box' form and was very excited. I just LOVE finding old slasher films on VHS because the cover artwork is fantastic. Usually though, it turns out that the film itself is less than fantastic. The Prey is one of those films.<br /><br />To be fair, it started off OK, with the killer stalking the cliché teenagers in the woods. The heartbeat sounds used are a great effect that make you tense as you watch. This film is basically a big fat cliché, and when the campfire stories section rolls in, the film takes a new direction and spends almost half of the running time on the back-story of the killer. I actually thought this was quite an original idea. However, the back-story ends abruptly and shows us some stock-footage of a burning woodland (the lack of budget really starts to show now). After this, we are returned to the dumb teenagers being picked off in the woods. The killer himself isn't shown until the end, which is a shame because he actually makes an effective looking killer. Sort of like Cropsy from The Burning, but better. As for gore, there isn't too much, although there's an OK face squishing moment at the end. <br /><br />Overall, I wouldn't recommend this film to anyone other than slasher completists - it really is a big mess."
18239,"1980 was certainly a year for bad backwoods slasher movies. Friday The 13th and The Burning may have been the best ones but there were like always a couple of stinkers not far behind like Don't Go Into The Woods Alone and this one. But in all fairness The Prey is nowhere near as bad as Don't Go Into The Woods but it's still not great either. One thing is that it's just boring and acting isn't very good but much better than DGITW and this movie actually has some attractive looking females to look at, all three of the female leads were stunning. One thing what is up with all that pointless wildlife footage it just seemed pointless and it looked as the director used that to just used that to fill up some time space.<br /><br />So, what was there to like about this movie? Well, there were a few laugh out loud cheese moments- I couldn't contain a fit of giggles when the final girl did a bizarre type of backwards moon-walk to get away from the kille and there were a few good kill scenes- my favourites being the girl suffocated to death with the sleeping bag; and the phoney looking.<br /><br />All in all The Prey is dumb, boring and the killer I didn't find scary at all, this movie could have been a whole lot better."
15882,"Everything everyone has said already pretty much rings true when it comes to 'The Prey'. Endless nature footage, bad acting - Aside from these elements, this is a watchable film for slasher fans that in some cases, is considered a cult classic.<br /><br />Jackson Bostwick and Jackie Coogan play pretty well off each other. There's also a three minute banjo solo that shows off Bostwick's skill behind the instrument. Not too bad if I do say so myself.<br /><br />The last ten minutes of the 'film' are its saving grace. The ending still haunts me to this day. This can also sport a short lived plus in that an early John Carl Bucheler does the special effects. Some may know him from films like 'Troll' and 'Friday the 13th part 7 - He directed both these films) All in all, this isn't a movie everyone will find something redeeming in. In fact, on a Hollywood level, this can rank right up there with one of the businesses most amateurish efforts, but for that handful (yet very loyal) of slasher movie fans in the world, even the bad acting and atrocious nature footage can be forgiven."
13093,"Uhhh ... so, did they even have writers for this? Maybe I'm picky, but I like a little dialog with my movies. And, as far as slasher films go, just a sliver of character development will suffice.<br /><br />Unfortunately, The Prey provides neither�?and if you think I'm being hyperbolic, you'll just have to see it for yourself. Scene after scene, we just get actors standing around, looking forlorn and awkward, abandoned by any sense of a script. Outside of calling out each other's names when they get separated in the woods (natch), the only instances where these people say something substantive is when one character explains the constellation Orion (clearly plagiarized from Funk & Wagnalls; scintillating slasher fare, no?) and another rehashes an old campfire tale that doesn't even have anything to do with the plot (wait, what IS the plot?) At other times, The Prey actually has the gall to film its characters with the boom mic just far away enough so that we can't exactly hear what they're saying. So we get entire scenes wherein the actors are murmuring! Deliberately! Seriously, I've seen more dialog in a silent film. It's as if the filmmakers sat down at a bar somewhere in Rancho Cucamonga in the heyday of the '80s slasher craze and one looked at the other and said, Hey, I gotta really sweet idea for a gory decapitation gag. Let's somehow pad an entire feature around it. And ... well, they did. <br /><br />To be fair, The Prey probably had some sort of writer on board. I mean, somebody had to jot down the scene sequence and label the dailies. However, I am fully convinced that this film did not have an editor of any kind whatsoever. There are glaring pauses, boring tableaux, and zero sense of pacing throughout. The filmmakers don't have anything else in the script to film, so they fill out the running time with exhaustive taxonomies of the flora and fauna that inhabit the forest in which our wild and crazy teens are getting sliced and diced. These critters are all filmed in straightforward, noontime daylight in a completely reserved fashion and with no attempt at atmospheric photography. If it feels like a science film, that's because it is. I'm pretty sure this is all nature show stock footage�?all that's missing is a stuffy narration from some National Geographic alderman.<br /><br />More exciting footage that was graciously spared from the cutting room floor: a scene in which two men discuss cucumber and cream cheese sandwiches, and another scene wherein a supporting character strums away on a banjo for what feels like an entire minute-and-a- half! A minute-and-a-half! That's a lot of banjoing to commit to celluloid to begin with, let alone insert into the final cut of the film! Way to go, guys! Brevity and concision are the real victims of this slaughterfest.<br /><br />Admittedly, the film picks up quite a bit of steam (comparatively) in the last 25 minutes, into which much of the carnage is condensed and where a rip-off of Béla Bartók's Music for Strings, Percussion and Celesta cuts in. Vaudeville great Jackie Coogan makes a fun appearance as a tubby, bumbly park ranger (this was his last role, if you can believe it). And there are some nice gory moments, including a splattery neck tearing and the aforementioned decapitation. The make-up used for the killer (Carel Struycken, aka Lurch from the Addams Family movies) is also quite effective, and makes him look like a strange hybrid of young Jason Voorhees and Freddy Krueger. Plus, if you love wacky, straight-outta-left-field endings, you need to check out how they wrap this puppy up. You'll do a spit take, I promise.<br /><br />Usually, I love films that are on this level of ineptitude, but the first three-quarters of The Prey are just so interminably boring that they pretty much spoil the rest. Overall, this is a largely pallid and tedious affair, and, while it ain't all bad, it should really only be seen by debilitated slasher completists. Why do we do this to ourselves, anyway?"
17580,"Oh yeah, this one is definitely a strong contender to win the questionable award of worst 80's slasher ever made. The Prey has got everything you usually want to avoid in a horror flick: a routine, derivative plot that you've seen a thousand times before (and better), insufferable characters and terrible performances, a complete lack of gore and suspense, fuzzy photography and unoriginal locations and �? most irritating of all �? the largest amount of pointless padding footage you've ever encountered in your life (and that's not an exaggeration but a guarantee!). Apart from the seemingly endless amount of National Geographic stock footage, which I'll expand upon later, this film is shameless enough to include a complete banjo interlude (!) and two occasions where characters tell dillydally jokes that aren't even remotely funny! The set-up is as rudimentary as it gets, with the intro showing images of a devastating forest fire with OTT voice-over human screams. Fast forward nearly forty years later, when an elderly couple out camping in that same area get axe-whacked by something that breathes heavily off-screen. This ought to be enough information for you to derive that someone survived the fire all these years ago and remained prowling around ever since. Enter three intolerable twenty something couples heading up to the danger zone with exclusively sex on their minds, unaware of course they are sitting ducks for the stalking and panting killer. The Prey is an irredeemable boring film. Apparently it was shot in 1978 already, but nobody wanted to distribute it up until 1984 and it isn't too hard to see why. In case you would filter out all the content that is actually relevant, this would only be a short movie with a running time of 30 minutes; possibly even less. There's an unimaginably large of nature and wildlife footage, sometimes of animals that I think don't even live in that type of area, and they seem to go on forever. The only thing missing, in fact, is the typical National Geographic narration providing educational information regarding the animals' habits. Animals in their own natural biotope are undeniably nice to look at, but not in a supposedly vile and cheesy 80's slasher movie, for crying out loud. The last fifteen minutes are finally somewhat worthwhile, with some potent killing sequences and fine make-up effects on the monster (who turns out to be Lurch from The Addams Family movies), but still silliness overrules �? the scene with the vultures is too stupid �? and the final shot is just laugh-out-loud retarded. As mentioned above, The Prey easily makes my own personal list of worst 80's slashers, alongside Appointment with Fear, Berserker, Deadly Games, Don't Go in the Woods, Hollow Gate, The Stay Awake and Curfew."
16503,"Supercraptastic slasher fare, which feels overly long at 80 minutes. Years ago, a bunch of gypsies who lived in the caves of a mountain, were burned up in a forest fire. Years later, campers are going missing from the area of the fire. A bunch of horny kids are, of course, en route to this area for a debaucherous camping trip of there own. Despite an ominous welcome from the forest ranger (Jackson Bostwick) the kids troop up to the mountain any way. Before long, the kids start to get picked off by the monster, who remains unseen to the very end of the movie, probably because the makeup was so embarrassingly bad. No surprises to speak of: they get killed in the exact order that the formula for these movies dictates, leaving the final girl to fend for herself, although in a refreshingly downbeat denouement, the final girl ends up imprisoned and impregnated by the monster.<br /><br />The story itself couldn't hold the weight of feature length, so it was padded out by seemingly endless shots of wildlife and insects, which were obviously shot for another film and inserted here haphazardously as a means of making the movie long enough for a video release. On the plus side, the wildlife footage is rather nice. Also among the highlights are Bostwick talking to a baby deer, a decent rock-climbing death sequence, OK gore, and the Great Jackie Coogan in his final film role, as the bumbling local sheriff. This is a far cry from Charlie Chaplin, but it was still nice to see him. This is for slasher completists only."
13831,"Even by the lowered standards of '80s slasher movies, this one stinks. The usual gaggle of oversexed teens heads for a forbidden part of forest, which burned in the 1940s and apparently left a sole angry survivor. Fast forward (actually, you'll want to fast-forward through much of this mess) to the present day, where a couple of campers are butchered; the teens follow in their wake, while a semi-concerned park ranger (a sleepwalking Jackie Coogan) and his healthier cohort (who spins a lot of time tuning his banjo) succeed partially in steering our attention from yards of run-of-the-mill nature-footage padding. Finally, more killings--but nothing you haven't seen a zillion times before. If you want to see the kids butchered, opt for SLEEPAWAY CAMP or the first FRIDAY THE 13TH over this"
